Date,SP500_Daily_Return,SP500_Daily_Return_Pct,SP500_Cumulative_Return,SP500_Rolling_Vol_5d,SP500_Rolling_Vol_20d,SP500_Return_5d,SP500_Return_20d,SP500_MA_5d,SP500_MA_20d
2023-04-24,0.000851574445025,0.0851574445025038,0.9504219508745492,0.0472006463067805,0.0947392930180675,-0.0034398697281827,0.0418157688636839,4141.948,4100.609
2023-04-25,-0.015810821263512,-1.5810821263512076,0.9195841780208412,0.1139814283646754,0.1140626448068778,-0.0200343211700967,0.0236578982433821,4125.3,4105.314
2023-04-26,-0.0038412134697898,-0.3841213469789828,0.912210645419832,0.1088151010115902,0.1150719453174587,-0.0237163378681534,0.0213332258949907,4105.594,4109.55
2023-04-27,0.0195661231906392,1.9566123190639215,0.9496251944745682,0.2021358640710769,0.1243345006015539,0.0013463154300825,0.0266993726119157,4106.706,4114.927000000001
2023-04-28,0.0082532312863479,0.8253231286347917,0.9657159021262578,0.2100214611857398,0.1258343666360199,0.0086996071145171,0.0292902935941521,4113.897999999999,4120.8595000000005
2023-05-01,-0.0003861392787588,-0.0386139278758856,0.964956862005566,0.210558119786044,0.1162153276439341,0.0074521880378242,0.0142505676135409,4120.064,4123.7875
2023-05-02,-0.0115862538898765,-1.1586253889876552,0.9421903729197144,0.1897097856751922,0.1234800191158631,0.0117766103501546,-0.0011952935015311,4129.654,4123.540999999999
2023-05-03,-0.0069982862330625,-0.6998286233062534,0.9285983687709236,0.1974216349106001,0.124294905759416,0.0085700408531579,-0.0024020874993904,4136.606,4123.0485
2023-05-04,-0.0072187251726456,-0.7218725172645657,0.9146763471783536,0.1227713723466715,0.1266164809336377,-0.0179259312996482,-0.0071289220072463,4121.780000000001,4121.5905
2023-05-05,0.0184747440424306,1.8474744042430655,0.9500495026165698,0.188647898033396,0.1427271089501957,-0.0079698187783607,0.0076077583056841,4115.134,4123.152
2023-05-08,0.0004521003324267,0.0452100332426708,0.9509311206449512,0.1890651240678491,0.1427108959659783,-0.0071379385633428,0.0070599229516854,4109.183999999999,4124.602499999999
2023-05-09,-0.0045793742085777,-0.4579374208577791,0.941997076988358,0.170895147009827,0.1437978140612817,-9.952470882945708e-05,0.0024896932055471,4109.102000000001,4125.114
2023-05-10,0.0044839130213125,0.4483913021312569,0.9507048229692172,0.1602727795092207,0.1436354621102311,0.0114624457617797,0.0111658255843791,4118.4800000000005,4127.3985
2023-05-11,-0.0016966193288928,-0.1696619328892867,0.9473952194616032,0.143476748659109,0.1357339905205987,0.0170884611028212,-0.003762463159215,4132.36,4126.6185000000005
2023-05-12,-0.0015832974226629,-0.1583297422662943,0.9443119136297232,0.0532191404295641,0.1356539566780231,-0.0029422786340284,-0.0032772304985451,4129.926,4125.940500000001
2023-05-15,0.0029582355337431,0.2958235533743192,0.950063646221303,0.058959345474169,0.1355426344316211,-0.0004446463611494,-0.0036229440274418,4129.558,4125.1885
2023-05-16,-0.0063777113735047,-0.6377711373504735,0.9376267031257391,0.0682490832632085,0.1372541409218588,-0.0022504533680329,-0.0108234433327637,4127.704,4122.9400000000005
2023-05-17,0.0118908002627802,1.189080026278022,0.9606666352364368,0.1096412323919257,0.1441539476501802,0.0051067758432343,0.0010229821977028,4131.93,4123.1525
2023-05-18,0.0094451003541911,0.9445100354191104,0.979185328367359,0.1201596522803378,0.1459437145019231,0.0163244258731134,0.016528685477954,4145.416,4126.565500000001
2023-05-19,-0.0014459094103216,-0.1445909410321633,0.9763236056763024,0.1198137591433217,0.146172529764776,0.0164642780935384,0.0141429096750467,4158.996,4129.4885
2023-05-22,0.0001550579916889,0.0155057991688911,0.976630050445526,0.1219426043586528,0.1461865495151468,0.0136233523842681,0.0134371434648927,4170.2660000000005,4132.268
2023-05-23,-0.0112220730186064,-1.1222073018606449,0.9544481636886544,0.1470175038925192,0.1400897484825241,0.0086814764349498,0.0181622593408536,4177.402,4135.9655
2023-05-24,-0.0073186381640205,-0.7318638164020563,0.9401442647682828,0.1253096803416755,0.1421909912874631,-0.0104670371287666,0.0146080241815191,4168.695999999999,4138.928
2023-05-25,0.0087576909244662,0.875769092446621,0.957135448587999,0.1213603551473299,0.1276688062986035,-0.0111408868403187,0.0038521527802966,4159.342,4139.724499999999
2023-05-26,0.0130489873003025,1.3048987300302572,0.9826740842015956,0.1634677337369889,0.1327052539208607,0.0032132786893068,0.0086269750664351,4162.036,4141.522999999999
2023-05-30,1.6645067709930572e-05,0.001664506770993,0.982707085945974,0.1634989109511753,0.1326787830405165,0.0030744425336841,0.009033391156634,4164.614,4143.4055
2023-05-31,-0.0061086381707852,-0.6108638170785219,0.9705954457592784,0.1428160360682482,0.1273894239860828,0.0082618113750065,0.0146252773340971,4171.464,4146.418
2023-06-01,0.0098544677654355,0.9854467765435526,0.9900146150582272,0.1256603362564319,0.1278274532705218,0.0257044546612106,0.0318450161950742,4192.620000000001,4152.931500000001
2023-06-02,0.0145344016375188,1.4534401637518846,1.018938286738016,0.1418612984958017,0.1312016372115204,0.0315782120213525,0.0544540803009934,4218.838,4163.989
2023-06-05,-0.0020035634473434,-0.2003563447343426,1.0148932157842654,0.1366948519271187,0.1179902182764781,0.0162503418183548,0.0332523420973103,4232.505999999999,4170.866
2023-06-06,0.002353882619408,0.2353882619408054,1.019636037904863,0.1341866371416272,0.1179244352072031,0.0186255207441647,0.0352164751143031,4248.1720000000005,4178.1525
2023-06-07,-0.0038119915496573,-0.381199154965739,1.0119372023949862,0.1242012000655212,0.1174077778454344,0.0209793221255412,0.0360145369091347,4265.710000000001,4185.570000000001
2023-06-08,0.0061886060287941,0.6188606028794119,1.024388289095283,0.1161237464315937,0.1180793067573058,0.0172730761759005,0.0377727400160476,4280.2919999999995,4193.3845
2023-06-09,0.0011481323635922,0.1148132363592235,1.0267125548064704,0.061839376465021,0.1173655035136365,0.0038506714739734,0.0407299630563933,4283.59,4201.7964999999995
2023-06-12,0.0093210758201012,0.932107582010122,1.0456036961953727,0.0795173976676898,0.1192872380640633,0.0152417409372009,0.0520964675757988,4296.618,4212.539
2023-06-13,0.0069325847616807,0.6932584761680793,1.0597850172080547,0.0835693101017782,0.1202891471547469,0.0198793141683297,0.0562655332811126,4313.65,4224.175499999999
2023-06-14,0.0008194076003487,0.0819407600348709,1.0614728207062396,0.059430867046871,0.1156551557935035,0.0246208570785841,0.0639163969926277,4334.664000000001,4237.3099999999995
2023-06-15,0.0121781369851734,1.217813698517345,1.086577719108012,0.0795374227239149,0.1159480348731226,0.0307201095499927,0.0642185069143039,4361.046,4250.663500000001
2023-06-16,-0.0036716193988033,-0.3671619398803338,1.0789165998774242,0.1024303719666588,0.1158392189342781,0.0257579916536012,0.0503900620526196,4383.192000000001,4261.2405
2023-06-20,-0.0047351341054383,-0.4735134105438354,1.0690726509829824,0.1140271067493655,0.1178903562397919,0.0114728746488188,0.0469300903153164,4393.148,4271.077
2023-06-21,-0.0052452770859775,-0.5245277085977551,1.0582197916175584,0.1156520802154346,0.1207310887987004,-0.0007598975511615,0.0412771935515414,4392.4839999999995,4279.73
2023-06-22,0.0037107536265745,0.3710753626574581,1.0658573381735907,0.1189241222983701,0.1101257810603908,0.0021268858960021,0.0570028801759947,4394.344,4291.545499999999
2023-06-23,-0.0076587956338476,-0.7658795633847637,1.0500353590118348,0.0682278645637819,0.1105460705778064,-0.0175130596677692,0.0566406819529359,4378.842,4303.2
2023-06-26,-0.0044867799822001,-0.4486779982200151,1.040837301400218,0.0685864637449329,0.1110453680675006,-0.0183168956751081,0.0427675319419551,4362.688,4312.077
2023-06-27,0.0114557777870181,1.1455777787018118,1.0642166800245163,0.1255783678043352,0.1090923683375931,-0.0023469311027614,0.0411275844439953,4360.628,4320.725
2023-06-28,-0.0003540097889417,-0.0354009788941733,1.0634859271132906,0.1183943755423848,0.1091914182866377,0.0025585875314098,0.0407416918716352,4362.862,4329.2919999999995
2023-06-29,0.0044735266835127,0.4473526683512752,1.0727169864692851,0.1197995268391313,0.1051269938969788,0.0033204849962,0.0518226817837088,4365.771999999999,4340.1224999999995
2023-06-30,0.012269017659743,1.2269017659743089,1.0981471877799265,0.115818035042685,0.1076706863480012,0.0234687799684016,0.0543375771732896,4386.182,4351.5905
2023-07-03,0.0011706865481149,0.1170686548114918,1.1006034604686254,0.0921876689371833,0.0981718124100791,0.0292851169602803,0.0404495641432198,4411.536,4360.2515
2023-07-05,-0.0019683139606652,-0.1968313960665213,1.0964688133515632,0.0895525042848056,0.0981528113482488,0.0156243933299986,0.0404863130851069,4425.218,4368.903
2023-07-06,-0.0079225154155103,-0.7922515415510367,1.0798595068596488,0.1192387078509302,0.1042561498493753,0.0079349122430236,0.0298189712524947,4432.164,4375.29
2023-07-07,-0.0028651801277997,-0.2865180127799793,1.073900334731979,0.11949603178824,0.1036699651496261,0.0005709164687792,0.0307977467006597,4432.666,4381.8615
2023-07-10,0.0024051194034939,0.2405119403493971,1.0788883126679556,0.0640658077581048,0.1022794419794783,-0.0091789914569093,0.026921724387682,4424.496,4387.6415
2023-07-11,0.0067422151567175,0.6742215156717579,1.0929046249587486,0.0882026160740862,0.1040461633080116,-0.003665058948422,0.0326598214410334,4421.23,4394.6615
2023-07-12,0.0074111451007599,0.7411145100759908,1.1084154448163694,0.1036358143056949,0.1023808395021327,0.0056984541762428,0.03070572698799,4426.298,4401.322999999999
2023-07-13,0.0084701799577833,0.8470179957783319,1.126274103059734,0.0744057240491306,0.1035946674310481,0.0223162170555286,0.0322796239880429,4445.987999999999,4408.3745
2023-07-14,-0.0010243811584819,-0.1024381158481912,1.1240959879307917,0.0633586613957563,0.1039872708744216,0.0242035031086964,0.0303778767275231,4467.281999999999,4415.0160000000005
2023-07-17,0.0038553564373575,0.3855356437357571,1.132285135071426,0.0606840015979839,0.0966054367408385,0.0256852771157016,0.0219054461977838,4489.933999999999,4419.8634999999995
