stoch_k,rolling_vol_7,Momentum_10,ATR,CCI,price_change,volatility,RSI,RSI_Divergence,Force_Index
35.90463827084072,0.028030669807293362,-7.180921244906408,0.0,-31.76253824380377,-8.529998799999987,0.0338124723884419,44.42999198705854,35.777267456791314,-40179289357.22123
12.560220082336429,0.03556649901917343,-154.4042344768602,0.0,-99.61863856942425,-32.419983,0.095775473664409,37.95419107321582,82.04589149297448,-1134290811.8399992
23.811893268092113,0.0379251642075684,-117.1556485761221,0.0,-65.73427997529886,-29.307006800000007,0.10210486350423262,42.233287707739095,164.48497488548458,-1124092057.0042803
61.02075161211611,0.0280266841501007,47.90247077626482,0.0,52.37927474512442,14.230987500000026,0.0846599439141472,50.65458341922694,-25.602779931875677,520071731.4681195
42.49535030958258,0.028749449966753046,-15.053388686476325,0.0,2.5706992479130264,-9.263977099999977,0.0471592817693712,47.52665276628765,36.12171197369692,-268006544.9317295
55.43381810261024,0.015569144245104955,12.688166651899369,0.0,16.407363780261,3.052002000000016,0.0245201203969612,50.104892293800695,-41.38412950188487,80368883.59611915
75.7684852509509,0.0370901358830564,122.75835865594836,0.0,85.538611735082,33.698974599999985,0.11281004002938272,57.707814837734695,-130.79924214814642,1517101043.2115004
28.802443640433847,0.0565460828217374,-187.3314941054435,0.0,-50.60223401719321,-12.546020499999996,0.0343774558312433,43.69984502516615,104.50343173369396,-385480186.2584505
40.40012613219197,0.0505678759990447,30.089477227929336,0.0,2.629029924570382,-11.582000800000005,0.0332076154044254,46.48275963341244,114.55610133715555,-311877790.333599
51.143870785507495,0.0422686235988755,13.820284279732883,0.0,39.094740274875846,-7.003997799999979,0.0362856923612918,47.58271183819511,30.19228345350928,-153423630.47184056
37.20889385325654,0.0401329456627487,-57.81402589999999,0.0,-18.87618143278382,-4.0360107999999855,0.0229236500128475,44.85366703505171,13.323006674282428,-73718698.46483982
17.688080327081643,0.0444922333734695,-47.25900260000003,0.0,-99.81999769799876,-22.2900085,0.0668008367204455,39.491246880721675,45.38301897985731,-527497253.67636037
24.468972111657664,0.0440096083704329,-19.328979500000003,0.0,-82.43509950060893,-1.4609984999999597,0.034412428873122,42.29531566935006,27.909455921218576,-55700710.074609354
15.327211188197758,0.0264749767639157,-21.9599915,22.96364047142862,-119.29366042923552,10.855987500000026,0.0466220562950689,33.93372349646222,-23.365665493814596,398335324.6148096
13.44244935622497,0.0260043252345019,-15.206024200000002,22.080451794897954,-84.86319401775528,-3.8120117999999934,0.0273574091255518,32.93373189792028,13.806008101458032,-87317934.89399953
4.085578028180748,0.0256134800298752,-27.08001709999997,21.399776302405314,-167.8896726825343,-8.91601559999998,0.0326859034247763,30.453554348561312,2.7338116506410444,-186046873.67783993
1.9749392333135276,0.0278406820528629,-76.2789917,21.288077887947736,-171.8914612954994,-15.6690064,0.052870477211196795,26.534065238558128,3.09750928999685,-480822597.837121
2.576281411816531,0.0378965708672648,-94.33898929999998,22.524716124522854,-208.81914839058643,-31.026001000000008,0.1072572143374603,20.84395684980757,9.3958901112494,-1447609594.7776496
20.500335841708342,0.035677496393379,-91.06399530000006,24.666165322771235,-200.95520730266497,-8.405975300000023,0.1596304444858066,19.60918956437075,-23.52477588543678,-696121408.8248022
26.784938690886214,0.0405830544608209,-74.34597780000001,25.945296735430475,-163.1206335653681,9.690002399999967,0.1328822278233493,25.082401460638263,-12.451775803732517,756063930.0023603
31.9386297582213,0.0383985556566082,-63.33297729999998,25.432419447185453,-134.30048462765274,5.602996800000028,0.0567632246395105,28.431847094814785,6.810444134176478,300513072.8398322
47.416268978843355,0.0465765088661334,-24.24099739999997,25.556962729529346,-90.02733926256926,16.824005100000022,0.0808531150504689,36.78052747256265,-2.2963086222520843,916996724.8524098
60.27444009540242,0.0491041072696696,-10.441009500000007,26.23425121313437,-34.97896836902726,12.278015200000029,0.0993315423773001,42.03399743389995,9.920462061337313,1010886265.846453
61.593686267385046,0.0463144158941358,-25.381988499999977,25.93923136933904,-34.92682240904671,-3.125000000000001,0.0606108051311223,40.982820282062995,14.49881074816301,-151257517.57700914
65.34404075907358,0.0264983614244813,-21.315979000000027,24.889287750100607,-33.7528978134946,0.9370116999999708,0.0311046006928019,41.31905892487789,-3.8647501571850498,9835405.727399565
87.43180978254837,0.0218896758939293,3.47702019999997,24.77498158223625,-5.539577617714805,15.94302369999997,0.0642267425327609,48.311572917853034,-8.520486507024891,285233000.0
93.68849232305176,0.0219601435476217,30.90200809999999,25.028840754933583,40.894486344089195,12.493011499999966,0.0749601391550123,52.739806070485905,8.813242852632882,417901569.3524195
91.1537375269203,0.0218073992873307,72.00399779999998,24.761351879581298,95.48279791855482,9.178008999999976,0.052015342725951,56.293392366672336,4.96258299618642,402466877.6544
86.17262251122548,0.0235750781192301,74.26300050000003,23.95418378103966,83.31999944060806,-6.181976299999974,0.0335723434047946,53.75518994157139,14.014775974899024,-154053124.64007932
76.1915685239412,0.0278282254346108,52.47698980000001,24.081527760965457,55.964148938062905,-11.962005599999998,0.065236564992529,48.98869414021765,1.3535298986463076,-329737113.3950004
77.17357512631656,0.0269731498827557,47.57098389999999,23.082060720896493,50.528573779214646,1.0019836000000168,0.0263588000807156,49.46348980924171,-12.94421063097598,16347984.27706027
83.45124215609275,0.0270717273312645,38.50198369999998,22.58955504083241,73.54913855899973,7.465972899999997,0.0421562301902664,52.506760962029034,-3.4387235472126467,87726582.74039993
79.7027543854469,0.0230647287689408,24.51998900000001,21.510443587915802,74.31751294255601,-1.7080077999999617,0.0191231137370375,51.679787779294635,8.753013417265585,-11214001.653176956
