Date,Open,High,Low,Close,Adj Close,Volume
"May 9, 2025",103256.2,104116.17,102385.81,103118.89,103118.89,73700925440
"May 8, 2025",97034.25,103969.54,96913.88,103241.46,103241.46,69895404397
"May 7, 2025",96800.2,97625.8,95829.34,97032.32,97032.32,76983822462
"May 6, 2025",94748.38,96889.18,93399.86,96802.48,96802.48,26551275827
"May 5, 2025",94319.56,95193.19,93566.27,94748.05,94748.05,25816260327
"May 4, 2025",95877.19,96318.92,94173.43,94315.98,94315.98,18198688416
"May 3, 2025",96904.63,96943.88,95821.29,95891.8,95891.8,15775154889
"May 2, 2025",96494.97,97905.9,96375.95,96910.07,96910.07,26421924677
"May 1, 2025",94212.86,97437.96,94153.63,96492.34,96492.34,32875889623
