rnn,xgb,lgbm,optimized_ensemble,simple_ensemble
-0.88575596,-0.383978,-0.6741796427575932,-0.6741796427575932,-0.6479711828499432
-4.4124336,-2.855541,-5.046780320015088,-5.046780320015088,-4.104918391176905
-4.8028936,-3.7584682,-6.316956903279943,-6.3169569032799435,-4.959439405382051
0.7456432,1.5835807,2.1332031328533794,2.1332031328533794,1.487475668028153
-1.516609,-1.1131259,-1.8268158055018096,-1.8268158055018098,-1.4855169328275888
0.67263377,0.7454113,0.6604060003233764,0.6604060003233765,0.6928170147562297
2.4716396,2.894991,4.490740422400908,4.490740422400908,3.2857903255333754
-3.5145156,-3.1884909,-3.215564135776857,-3.2155641357768574,-3.3061902933872074
-2.163044,-1.4070356,-2.5194231100449995,-2.5194231100449995,-2.0298342250310726
-0.38427848,0.37341928,-0.7471335754132951,-0.7471335754132951,-0.25266425561032974
-0.6374789,-0.43265766,-1.1499536410063613,-1.1499536410063613,-0.7400300626983282
-2.7944355,-1.8934112,-3.3432893698000408,-3.343289369800041,-2.677045343471351
-1.7817141,-1.1544367,-2.085641177684726,-2.085641177684726,-1.6739306556485303
-3.0870006,-2.2410514,-0.29523587531093376,-0.2952358753109341,-1.8744293064085762
-2.4343011,-2.5394614,-1.1256462347485376,-1.125646234748538,-2.0331362489851896
-2.5646656,-3.0195913,-2.578109627540657,-2.5781096275406576,-2.7207889177983833
-2.5796733,-3.2423418,-4.104455798403676,-4.104455798403677,-3.308823535686154
-4.4208865,-5.5414705,-6.0694438018180605,-6.069443801818061,-5.343933456400291
-1.996991,-3.3949742,-3.906824614859907,-3.9068246148599073,-3.0995966680372056
0.9323831,1.9653877,2.705522114480323,2.7055221144803236,1.867764332044385
0.60805625,1.2418612,1.895646794212826,1.8956467942128261,1.248521402005675
2.4905138,3.1668947,3.6635131055654453,3.6635131055654457,3.1069739399532934
3.612215,3.3732164,3.8976662259756205,3.897666225975621,3.6276992990393992
1.586335,1.6621883,0.5566982621156639,0.5566982621156641,1.2684071658122362
0.590072,0.47590545,-0.04864633714150303,-0.04864633714150296,0.33911037234799424
1.6325521,1.7135373,2.87631185317996,2.8763118531799603,2.074133738759368
2.0054238,2.0887773,2.760587212381565,2.7605872123815653,2.2849294334444084
1.0381341,1.0522046,1.1522348219838026,1.1522348219838028,1.0808578429846725
0.029276237,-0.041587204,-0.5966202477854998,-0.5966202477854998,-0.2029770715449423
-1.2901059,-1.3805274,-1.3227564494829707,-1.3227564494829709,-1.3311299218410033
-0.8813098,-0.6537883,-0.8434475974719345,-0.8434475974719347,-0.7928485577795445
-0.20203151,-0.29166743,0.4894870544436789,0.48948705444367885,-0.0014039667128451505
-0.4370299,-0.532086,-0.6526809583473859,-0.652680958347386,-0.5405989570872207
-0.98702914,-1.0920576,-1.079881568931361,-1.0798815689313612,-1.0529894498264856
