iter	RMSE
160	1.685615076
161	1.683799785
162	1.680995408
163	1.679366481
164	1.675330763
165	1.669319212
166	1.666715808
167	1.662236238
168	1.659261127
169	1.65583942
170	1.651139508
171	1.648123577
172	1.646320294
173	1.643143097
174	1.639987805
175	1.637651199
176	1.635813775
177	1.633441123
178	1.631252787
179	1.629069215
180	1.624118464
181	1.621569609
182	1.617457008
183	1.61390427
184	1.609351677
185	1.606998888
186	1.603538811
187	1.599315869
188	1.594737511
189	1.592542646
190	1.589297206
191	1.585722509
192	1.580260357
193	1.577325547
194	1.570291989
195	1.563935537
196	1.559515726
197	1.552884223
198	1.549947406
199	1.547737751
200	1.542303161
201	1.539971789
202	1.537031977
203	1.535023039
204	1.531962135
205	1.527813681
206	1.524364025
207	1.520737851
208	1.5172634
209	1.512887877
210	1.507018835
211	1.502224418
212	1.496058871
213	1.491742006
214	1.485738861
215	1.480601339
216	1.47618517
217	1.473137328
218	1.467662929
219	1.462020847
220	1.457807907
221	1.452793146
222	1.44691431
223	1.441595942
224	1.4371492
225	1.432065706
226	1.427084363
227	1.422776194
228	1.420153244
229	1.416265509
230	1.410814474
231	1.403728394
232	1.40025232
233	1.396229408
234	1.393112341
235	1.386605943
236	1.381258994
237	1.376642172
238	1.3717144
239	1.364538462
240	1.360742179
241	1.35771231
242	1.353997269
243	1.350509497
244	1.345152841
245	1.341903114
246	1.338641674
247	1.334784063
248	1.329147586
249	1.324199389
250	1.319716298
251	1.314833577
252	1.311619221
253	1.308280821
254	1.303784985
255	1.299464821
256	1.295624589
257	1.291767633
258	1.288003454
259	1.285221987
260	1.283319697
261	1.279574299
262	1.276479976
263	1.271253541
264	1.266332557
265	1.262358261
266	1.259260797
267	1.254972911
268	1.249363322
269	1.245218603
270	1.241604867
271	1.238720309
272	1.234092258
273	1.230663407
274	1.227202869
275	1.224528488
276	1.221562026
277	1.216921229
278	1.21206195
279	1.208872046
280	1.204753209
281	1.200517438
282	1.196297301
283	1.192091205
284	1.189883169
285	1.18805599
286	1.18636134
287	1.183074445
288	1.180288998
289	1.178106813
290	1.174604936
291	1.172662616
292	1.16913998
293	1.164052412
294	1.16214499
295	1.158295151
296	1.15496543
297	1.152071921
298	1.150459241
299	1.147252475
300	1.14387551
301	1.140987319
302	1.136855799
303	1.133532461
304	1.131407973
305	1.12825076
306	1.123945453
307	1.119627222
308	1.115907197
309	1.113627845
310	1.111925388
311	1.110520146
312	1.106386173
313	1.104410887
314	1.102894347
315	1.100787495
316	1.095559928
317	1.093472773
318	1.09223276
319	1.088417667
320	1.086349704
321	1.083664527
322	1.081426673
323	1.079118539
324	1.075653189
325	1.073465358
326	1.071534221
327	1.068080215
328	1.065849571
329	1.061716404
330	1.058964868
331	1.055251155
332	1.053620979
333	1.050545931
334	1.049511588
335	1.047556416
336	1.043383581
337	1.041605015
338	1.039272785
339	1.03588505
340	1.034192774
341	1.03212945
342	1.030902066
343	1.028896428
344	1.027692442
345	1.026470064
346	1.024489555
347	1.021938085
348	1.020646987
349	1.019242791
350	1.016150679
351	1.013380728
352	1.012121393
353	1.009767756
354	1.00768161
355	1.005467848
356	1.004359912
357	1.002801915
358	1.00149084
359	0.9995383839
360	0.9974594231
361	0.9954810298
