date,adj_close,close,high,low,open,volume,daily_returns,profit/loss,percentreturn,MA50,MA200,price_range,price_change,volatility,RSI,EMA12,EMA26,MACD,Signal_Line,RSI_Signal,MACD_Signal,day_of_week,week_of_year,month,is_weekend,BB_middle,BB_std,BB_upper,BB_lower,BB_width,stoch_k,stoch_d,ATR,OBV,vwap,rolling_mean_7,rolling_mean_30,rolling_vol_7,rolling_vol_30,rolling_return_7,rolling_return_30,rolling_max_7,rolling_min_7,close_lag_1,close_lag_3,close_lag_7,close_lag_30,trend_strength,volatility_volume_ratio,MACD_histogram
2014-09-17 00:00:00+00:00,457.3340149,457.3340149,468.1740112,452.4219971,465.8640137,21056800.0,-1.831006158,LOSS,-0.400365181,,,15.752014099999997,-8.529998799999987,0.033812473,,457.3340149,457.3340149,0.0,0.0,Neutral,Sell,2,38,9,0,,,,,,,,,0.0,459.3100077333334,,,,,,,,,,,,,,1.6057745241442195e-09,0.0
2014-09-18 00:00:00+00:00,424.4400024,424.4400024,456.8599854,413.1040039,456.8599854,34483200.0,-7.096262301,LOSS,-1.671911757,,,43.75598150000002,-32.419983,0.095775474,,439.5164247958333,440.25443148653846,-0.7380066907051628,-0.41000371705842376,Neutral,Sell,3,38,9,0,,,,,,,,,-34483200.0,442.0236984702149,,,,,,,,,457.3340149,,,,,2.777453194599109e-09,-0.328002973646739
2014-09-19 00:00:00+00:00,394.79599,394.79599,427.8349915,384.5320129,424.1029968,37919700.0,-6.910351272,LOSS,-1.750360046,,,43.30297860000002,-29.30700680000001,0.102104863,,422.06202876697455,423.9216548262691,-1.8596260592945555,-1.0041112343683136,Neutral,Sell,4,38,9,0,,,,,,,,,-72402900.0,425.9420450306635,,,,,,,,,424.4400024,,,,,2.692660094884717e-09,-0.8555148249262419
2014-09-20 00:00:00+00:00,408.9039917,408.9039917,423.29599,389.8829956,394.6730042,36863600.0,3.605766647,PROFIT,0.881812533,,,33.4129944,14.230987500000026,0.084659944,,417.90855068706895,419.72337248172937,-1.8148217946604177,-1.27874218297675,Neutral,Sell,5,38,9,1,,,,,,,,,-35539300.0,420.68615839698447,,,,,,,,,394.79599,457.3340149,,,,2.296572879480029e-09,-0.5360796116836677
2014-09-21 00:00:00+00:00,398.8210144,398.8210144,412.4259949,393.1809998,408.0849915,26580100.0,-2.270109719,LOSS,-0.569205141,,,19.244995099999983,-9.263977099999977,0.047159282,,412.7225352962814,414.87602942873275,-2.1534941324513284,-1.538961111306884,Neutral,Sell,6,38,9,1,,,,,,,,,-62119400.0,417.43187677796675,,,,,,,,,408.9039917,424.4400024,,,,1.774232677830407e-09,-0.6145330211444444
2014-09-22 00:00:00+00:00,402.1520081,402.1520081,406.9159851,397.1300049,399.1000061,24127600.0,0.764721099,PROFIT,0.190157225,,,9.785980199999983,3.052002000000016,0.02452012,,410.15334107421563,412.3275094397411,-2.1741683655254747,-1.7111375940402602,Neutral,Sell,0,39,9,0,,,,,,,,,-37991800.0,415.38393060394753,,,,,,,,,398.8210144,394.79599,,,,1.0162685057776156e-09,-0.46303077148521443
2014-09-23 00:00:00+00:00,435.7909851,435.7909851,441.5570068,396.196991,402.0920105,45099500.0,8.380911266,PROFIT,1.923149297,,,45.360015799999985,33.698974599999985,0.11281004,,415.87429163929755,416.5003669544846,-0.6260753151870517,-1.436537278090059,Neutral,Buy,1,39,9,0,,,,,,,,,7107700.0,417.20503128324606,417.46257237142856,,22.888466869012962,,,,468.1740112,384.5320129,402.1520081,408.9039917,,,,2.5013589951108107e-09,0.8104619629030072
2014-09-24 00:00:00+00:00,423.2049866,423.2049866,436.1119995,421.1319885,435.7510071,30627700.0,-2.87917189,LOSS,-0.680325606,,,14.980011000000047,-12.546020499999997,0.034377456,,417.4040946888166,417.58064730862685,-0.17655261981025205,-1.1337392706886706,Neutral,Buy,2,39,9,0,,,,,,,,,-23520000.0,418.35152559768244,412.5869969,,15.384712283646913,,-0.07462604395927697,,456.8599854,384.5320129,435.7909851,398.8210144,457.3340149,,,1.122430218397072e-09,0.9571866508784186
2014-09-25 00:00:00+00:00,411.5740051,411.5740051,423.519989,409.4679871,423.1560059,26814400.0,-2.737052192,LOSS,-0.665020666,,,14.052001899999993,-11.582000800000003,0.033207616,,416.25069545792104,416.6903310698702,-0.4396356119491429,-0.9733978820538322,Neutral,Buy,3,39,9,0,,,,,,,,,-50334400.0,418.02080176038857,410.74899728571427,,14.474235427318268,,-0.03031287632468449,,441.5570068,384.5320129,423.2049866,402.1520081,424.4400024,,,1.2384247270123516e-09,0.5337622701046892
2014-09-26 00:00:00+00:00,404.4249878,404.4249878,414.9379883,400.0090027,411.4289856,21460800.0,-1.702358863,LOSS,-0.420933156,,,14.928985599999976,-7.003997799999979,0.036285692,,414.00972845274003,414.99783307338606,-0.9881046206460269,-0.9766930452234875,Neutral,Sell,4,39,9,0,,,,,,,,,-71795200.0,417.2072468025523,412.1245684,,13.09752031567276,,0.024389806492208788,,441.5570068,389.8829956,411.5740051,435.7909851,394.79599,,,1.6907893461567136e-09,-0.011411575422539344
2014-09-27 00:00:00+00:00,399.519989,399.519989,406.6229858,397.3720093,403.5559998,15029300.0,-1.000111693,LOSS,-0.250328324,,,9.250976499999979,-4.0360107999999855,0.02292365,,411.3584555051835,412.9903517936798,-1.631896288496307,-1.120047771062132,Neutral,Sell,5,39,9,1,,,,,,,,,-86824500.0,416.4542580156941,410.78399658571425,,13.935527789085723,,-0.022949158948012305,,441.5570068,393.1809998,404.4249878,423.2049866,408.9039917,,,1.5252639843505685e-09,-0.5118485174341751
2014-09-28 00:00:00+00:00,377.1809998,377.1809998,401.0169983,374.3320007,399.4710083,23613300.0,-5.579881414,LOSS,-1.479364395,,,26.68499760000003,-22.2900085,0.066800837,,405.28181608058946,408.59060867436904,-3.3087925937795717,-1.5900983665682449,Neutral,Sell,6,39,9,1,,,,,,,,,-110437800.0,414.2365283597178,407.69256592857136,,18.638416662956416,,-0.05425996579582448,,441.5570068,374.3320007,399.519989,411.5740051,398.8210144,,,2.828949659725663e-09,-1.7186942272113268
2014-09-29 00:00:00+00:00,375.4670105,375.4670105,385.2109985,372.2399902,376.928009,32497700.0,-0.387606784,LOSS,-0.103233246,,,12.971008299999994,-1.4609984999999597,0.034412429,,400.1048331827487,404.710185122863,-4.6053519401143035,-2.228230781808319,Neutral,Sell,0,40,9,0,,,,,,,,,-142935500.0,411.0748913992525,403.8804234142857,,22.324892989648113,,-0.06635550006594626,,441.5570068,372.2399902,377.1809998,404.4249878,402.1520081,,,1.058918908107343e-09,-2.3771211583059846
2014-09-30 00:00:00+00:00,386.9440002,386.9440002,390.9769897,373.4429932,376.0880127,34707300.0,2.886555057,PROFIT,0.745987806,,,17.5339965,10.855987500000026,0.046622057,31.997433069274464,397.8639635276006,402.7148311248068,-4.850867597206161,-2.7768883603801746,Neutral,Sell,1,40,9,0,,,,,,15.327211188197758,,22.96364047142857,-108228200.0,408.76995512481034,396.9022827142857,,17.87970186546779,,-0.11208810317356888,,436.1119995,372.2399902,375.4670105,399.519989,435.7909851,,,1.3432925349998416e-09,-2.0739792368259864
2014-10-01 00:00:00+00:00,383.6149902,383.6149902,391.3789978,380.7799988,387.427002,26229400.0,-0.983930314,LOSS,-0.256489016,,,10.598998999999992,-3.8120117999999934,0.027357409,31.461697326309206,395.4770165613169,400.6486961955516,-5.171679634234749,-3.273313004545467,Neutral,Sell,2,40,10,0,,,,,,13.44244935622497,,22.595567964285713,-134457600.0,407.35908823360836,391.2465689428572,,14.017326513987411,,-0.09354803854761562,,423.519989,372.2399902,386.9440002,377.1809998,423.2049866,,,1.0430055205227721e-09,-1.8983666296892823
2014-10-02 00:00:00+00:00,375.071991,375.071991,385.4970093,372.9460144,383.9880066,21777700.0,-2.32195159,LOSS,-0.619068245,,,12.550994899999978,-8.91601559999998,0.032685903,35.852649152962584,392.10492520276506,397.9731627244791,-5.868237521714036,-3.8073291255000616,Neutral,Sell,3,40,10,0,,,,,,4.08557802818075,10.951746190867825,20.3327811,-156235300.0,405.9581060828815,386.0319955,,11.81088857205211,,-0.08868882302498937,,414.9379883,372.2399902,383.6149902,375.4670105,411.5740051,,,1.500888661337056e-09,-2.0609083962139745
2014-10-03 00:00:00+00:00,359.5119934,359.5119934,377.6950073,357.8590088,375.1809998,30901200.0,-4.176385893,LOSS,-1.161681938,,,19.83599849999996,-15.6690064,0.052870477,39.000831071398046,386.7794590274889,394.0690181616844,-7.289559134195542,-4.5198189722815085,Neutral,Sell,4,40,10,0,,,,,,1.9749392333135236,6.500988872573081,18.65656823571428,-187136500.0,403.37541449808265,379.61585344285714,,12.341142076557478,,-0.11105395500984916,,406.6229858,357.8590088,375.071991,386.9440002,404.4249878,,,1.710952228392425e-09,-2.769740161914034
2014-10-04 00:00:00+00:00,328.8659973,328.8659973,364.4869995,325.8859863,359.8919983,47236500.0,-8.620919922,LOSS,-2.621408109,,,38.60101320000001,-31.026001000000008,0.107257214,27.381696708158387,377.40627531378277,387.6270746568061,-10.220799343023316,-5.6809317955425644,Oversold,Sell,5,40,10,1,,,,,,2.5762814118165323,2.8789328911036023,19.027141007142852,-234373000.0,397.7786343088671,369.5224260571429,,19.916722781084502,,-0.17684720075420313,,401.0169983,325.8859863,359.5119934,383.6149902,399.519989,,,2.2706427021477037e-09,-4.5398675474807515
2014-10-05 00:00:00+00:00,320.5100098,320.5100098,341.8009949,289.29599,328.9159851,83308096.0,-2.555660327,LOSS,-0.797373015,,,52.50500489999996,-8.405975300000023,0.159630444,27.651597287800882,368.27082425655425,381.1560184279418,-12.885194171387525,-7.1428527723642254,Oversold,Sell,6,40,10,1,,,,,,20.500335841708342,8.350518828946134,21.402855992857134,-317681096.0,386.95759356378375,361.4265703428572,,26.660889318107746,,-0.15024879309946626,,391.3789978,289.29599,328.8659973,375.071991,377.1809998,,,1.9161456288714126e-09,-5.742341399023299
2014-10-06 00:00:00+00:00,330.07901,330.07901,345.1340027,302.5599976,320.3890076,79011800.0,3.024449095,PROFIT,0.916280346,,,42.57400510000002,9.690002399999969,0.132882228,30.138934775447154,362.17953720763524,376.3390683089931,-14.159531101357857,-8.562556507830852,Neutral,Sell,0,41,10,0,389.91039886500005,35.558666491678814,461.0277318483577,318.7930658816424,142.23466596671528,26.784938690886218,16.620518648137033,23.744857771428567,-238669296.0,380.06208036196597,354.94257027142856,,28.154507917777288,,-0.12088412358667133,,391.3789978,289.29599,320.5100098,359.5119934,375.4670105,,,1.6818023130722246e-09,-5.596974593527005
